filename,ratio,mst_0_mu,mst_1_mu,mst_2_mu,mst_3_mu,mst_4_mu,mst_5_mu,mst_6_mu,mst_7_mu,mst_8_mu,mst_9_mu,mst_0_sig,mst_1_sig,mst_2_sig,mst_3_sig,mst_4_sig,mst_5_sig,mst_6_sig,mst_7_sig,mst_8_sig,mst_9_sig
0_0_0_0000.png,0.1065216064453125,0.1040060743689537,0.10520308464765549,0.06529578566551208,0.09034068882465363,0.1658279299736023,0.34808629751205444,0.4803330898284912,0.6121636629104614,0.7183071374893188,0.8140648603439331,0.016062065958976746,0.01495959609746933,0.014728303998708725,0.018364766612648964,0.02018684707581997,0.016708990558981895,0.015077641233801842,0.012345694936811924,0.007292266935110092,0.005740509368479252
0_0_0_0001.png,0.010711669921875,0.0798005685210228,0.08029845356941223,0.10030847787857056,0.10634291172027588,0.14929667115211487,0.2963173985481262,0.41419005393981934,0.542124330997467,0.6542820334434509,0.7364562153816223,0.00928712822496891,0.008055388927459717,0.010421023704111576,0.01831951178610325,0.02576770819723606,0.024917645379900932,0.021945912390947342,0.018062738701701164,0.015403494238853455,0.026237130165100098
0_0_0_0002.png,0.6677703857421875,0.09230910986661911,0.09065493196249008,0.11638505011796951,0.12080798298120499,0.1472654640674591,0.286943256855011,0.40243425965309143,0.533392608165741,0.6441622376441956,0.7168935537338257,0.037425361573696136,0.0316903181374073,0.03195605054497719,0.034786321222782135,0.050558846443891525,0.06746631115674973,0.06555207073688507,0.05903083458542824,0.06451114267110825,0.08570727705955505
0_0_0_0003.png,0.330047607421875,0.09060618281364441,0.09891145676374435,0.1244235560297966,0.1380515843629837,0.17722555994987488,0.3201412260532379,0.43447333574295044,0.5604289174079895,0.6633536219596863,0.7375271320343018,0.035370923578739166,0.022830111905932426,0.014427222311496735,0.022437119856476784,0.049915000796318054,0.07234646379947662,0.06786137819290161,0.0620647557079792,0.07270022481679916,0.09653295576572418
0_0_0_0195.png,0.1098175048828125,0.10456050932407379,0.10511056333780289,0.06459512561559677,0.08840616047382355,0.16318044066429138,0.3457559049129486,0.478227823972702,0.6104657649993896,0.7172825932502747,0.8132365942001343,0.016798818483948708,0.01586340367794037,0.015263603068888187,0.01971309632062912,0.02268201857805252,0.019122526049613953,0.01748540624976158,0.01442650891840458,0.008646260015666485,0.006949535571038723
0_0_0_0196.png,0.0108489990234375,0.07996430993080139,0.08040019124746323,0.10032814741134644,0.10625136643648148,0.14906913042068481,0.2960382401943207,0.41394078731536865,0.5419279932975769,0.6541029810905457,0.7361310124397278,0.009694737382233143,0.008283860050141811,0.010565054602921009,0.018380548804998398,0.025760015472769737,0.025034572929143906,0.02204781584441662,0.01816185563802719,0.015602261759340763,0.026570361107587814
0_0_0_0197.png,0.6754608154296875,0.09062087535858154,0.08917145431041718,0.1148909479379654,0.11983891576528549,0.14753754436969757,0.2887134850025177,0.40440163016319275,0.5352821350097656,0.6466451287269592,0.7202928066253662,0.03634125739336014,0.03075661137700081,0.03121977485716343,0.03461652621626854,0.05063115805387497,0.06651247292757034,0.06438333541154861,0.05779733508825302,0.06256715208292007,0.08345690369606018
0_0_0_0198.png,0.734222412109375,0.18920594453811646,0.18934448063373566,0.2523763179779053,0.26096150279045105,0.2639114260673523,0.3414739668369293,0.40786853432655334,0.5235840678215027,0.6547638177871704,0.7285739183425903,0.015169118531048298,0.013776416890323162,0.012882244773209095,0.011462711729109287,0.013754294253885746,0.025032702833414078,0.028554249554872513,0.02761935256421566,0.03672296926379204,0.056327398866415024
0_0_0_0199.png,0.32537841796875,0.08942557126283646,0.09811528772115707,0.12407957017421722,0.1384146809577942,0.1787000149488449,0.32242777943611145,0.43653395771980286,0.5623127222061157,0.6657806038856506,0.7405225038528442,0.03414563462138176,0.02169838920235634,0.013590537942945957,0.022193830460309982,0.04905030131340027,0.07065623253583908,0.06635548919439316,0.06062375381588936,0.07049857079982758,0.09414530545473099
0_1_0_0378.png,0.2556304931640625,0.13367164134979248,0.13226871192455292,0.19006742537021637,0.19710145890712738,0.2065662145614624,0.3048933446407318,0.3908975422382355,0.5143008828163147,0.6403131484985352,0.7110983729362488,0.023532813414931297,0.02349977381527424,0.025928299874067307,0.027980506420135498,0.030765360221266747,0.03130189701914787,0.02760922536253929,0.02413571998476982,0.03044389933347702,0.047531746327877045
